id;bank;product_name;amount_min;amount_max;amount_currency;min_term;max_term;term_unit;rate_branch;rate_klik_bonus;rate_klik_total;offer_type;source;url;last_updated;notes
3;Intesa Sanpaolo Bank;Depozit 1M;300;100000;EUR;1;1;months;0.01;0.0;0.01;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;11/04/2026;redna ponudba
3;Intesa Sanpaolo Bank;Depozit 2M;300;100000;EUR;2;2;months;0.01;0.0;0.01;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;11/04/2026;redna ponudba
3;Intesa Sanpaolo Bank;Depozit 3M;300;100000;EUR;3;3;months;0.01;0.0;0.01;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;11/04/2026;redna ponudba
3;Intesa Sanpaolo Bank;Depozit 4M;300;100000;EUR;4;4;months;0.01;0.0;0.01;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;11/04/2026;redna ponudba
3;Intesa Sanpaolo Bank;Depozit 5M;300;100000;EUR;5;5;months;0.01;0.0;0.01;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;11/04/2026;redna ponudba
3;Intesa Sanpaolo Bank;Depozit 6M;300;50000;EUR;6;6;months;0.8;0.0;0.8;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;11/04/2026;redna ponudba
3;Intesa Sanpaolo Bank;Depozit 6M;50000;100000;EUR;6;6;months;1.0;0.0;1.0;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;11/04/2026;redna ponudba
3;Intesa Sanpaolo Bank;Depozit 7M;300;50000;EUR;7;7;months;0.8;0.0;0.8;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;11/04/2026;redna ponudba
3;Intesa Sanpaolo Bank;Depozit 7M;50000;100000;EUR;7;7;months;1.0;0.0;1.0;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;11/04/2026;redna ponudba
3;Intesa Sanpaolo Bank;Depozit 8M;300;50000;EUR;8;8;months;0.8;0.0;0.8;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;11/04/2026;redna ponudba
3;Intesa Sanpaolo Bank;Depozit 8M;50000;100000;EUR;8;8;months;1.0;0.0;1.0;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;11/04/2026;redna ponudba
